X,Y,OBJECTID,Business_Category,Business_Name,Address,City,Zip
-13132856.8449144,4101912.44844068,1185,Food Establishment,joshua liquor and jr market,8714 E Avenue T ,Littlerock,93543
-13138532.1689951,4042314.32138747,1186,Food Establishment,JUG AND JIGGER LIQUOR,5235 Tyler Avenue,Temple City,91780
-13153359.4095177,4030887.38731838,1187,Food Establishment,Jugeria Crystal,1224 1/2 S Atlantic Boulevard,Los Angeles,90022
-13161044.9256671,4023571.7293613,1188,Food Establishment,JULIANCITO MEAT MARKET,8506 Santa Fe Avenue,Huntington Park,90255
-13154635.7102336,4032294.50058751,1189,Food Establishment,JUNHWAN CORP,670 S Ford Boulevard,Los Angeles,90022
-13168681.2775525,4000715.63160465,1190,Food Establishment,k & a foods inc,1111 W Pacific Coast Highway,Harbor City,90710
-13212106.6595957,4033606.35360003,1191,Food Establishment,K Chocolatier,3835 Cross Creek Road,Malibu,90265
-13168133.1148239,4032314.31296058,1192,Food Establishment,K Maat,3100 S Vermont Avenue,Los Angeles,90007
-13154997.6863595,4033904.39692764,1193,Food Establishment,K2 US INC,200 N Eastern Avenue,Los Angeles,90022
-13191419.5415586,4063406.27468833,1194,Food Establishment,Kahala Holdings,16912 W Devonshire Street,Granada Hills,91344
-13152906.6746873,4032850.20271425,1195,Food Establishment,Kang & Park Corporation,377 S Atlantic Boulevard,Los Angeles,90022
-13185311.6290629,4026627.33377085,1196,Food Establishment,Kaster Consultatnts,4558 Admiralty Way,Marina Del Rey,90292
-13153030.9307782,4031469.53900086,1197,Food Establishment,KAYLAAH MEAT MARKET,5330 Whittier Boulevard,Los Angeles,90022
-13131484.6490219,4030256.95149425,1198,Food Establishment,KDM Liquor Inc,15817 E Gale Avenue,Hacienda Heights,91745
-13123485.43088,4028208.12023786,1199,Food Establishment,Kee Wah Corporation,18912 Gale Avenue,Rowland Heights,91748
-13150496.6858538,4037281.53452671,1200,Food Establishment,Kee Wah Corporation,729 W Garvey Avenue,Monterey Park,91754
